Warm Bodies,zombies,2013,https://en.wikipedia.org/wiki/Warm_Bodies_(film)
World War Z,zombies,2013,https://en.wikipedia.org/wiki/World_War_Z_(film)
The World's End,ai,2013,https://en.wikipedia.org/wiki/The_World%27s_End_(film)
Dawn of the Planet of the Apes,disease,2014,https://en.wikipedia.org/wiki/Dawn_of_the_Planet_of_the_Apes
Edge of Tomorrow,war,2014,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film)
Goodbye World,ai,2014,https://en.wikipedia.org/wiki/Goodbye_World
Die Gstettensaga: The Rise of Echsenfriedl,war,2014,https://en.wikipedia.org/wiki/Die_Gstettensaga:_The_Rise_of_Echsenfriedl
Interstellar,climate,2014,https://en.wikipedia.org/wiki/Interstellar_(film)
The Last Survivors,climate,2014,https://en.wikipedia.org/wiki/The_Last_Survivors
Noah,natural disaster,2014,https://en.wikipedia.org/wiki/Noah_(2014_film)
Wyrmwood: Road of the Dead,zombies,2014,https://en.wikipedia.org/wiki/Wyrmwood:_Road_of_the_Dead
Zodiac: Signs of the Apocalypse,natural disaster,2014,https://en.wikipedia.org/wiki/Zodiac:_Signs_of_the_Apocalypse
Air,atomic bomb,2015,https://en.wikipedia.org/wiki/Air_(2015_film)
Extinction,zombies,2015,https://en.wikipedia.org/wiki/Extinction_(film)
Hidden,disease,2015,https://en.wikipedia.org/wiki/Hidden_(2015_film)
Mad Max: Fury Road,atomic bomb,2015,https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road
The Survivalist,climate,2015,https://en.wikipedia.org/wiki/The_Survivalist_(film)
Terminator Genisys,ai,2015,https://en.wikipedia.org/wiki/Terminator_Genisys
Z for Zachariah,atomic bomb,2015,https://en.wikipedia.org/wiki/Z_for_Zachariah_(film)
10 Cloverfield Lane,monster,2016,https://en.wikipedia.org/wiki/10_Cloverfield_Lane
